Litologia codigo prof RHOB GR SP DT
shale2 1 10.0 1.2940454577425224 61.70922740651107 41.08406250698235 230.58146380045062
shale2 1 20.0 1.3819271704811196 52.11407937644652 36.85543814013188 190.8318745836262
shale2 1 30.0 1.6758914094858925 63.320586221328355 41.1663696076767 302.4404466310768
shale2 1 40.0 1.7760327556169493 71.51488214093693 38.94021468207956 345.3136936017323
shale2 1 50.0 1.8895114254640324 88.71632015464587 69.12469394548258 375.37689597140286
shale2 1 60.0 2.064731538054564 97.57116090537579 52.57785619654327 396.8720822267935
shale2 1 70.0 2.1635750863772274 103.9091000506385 52.94770377838994 476.63391034425325
shale2 1 80.0 2.429382732174772 98.4743149127634 51.005996815555775 447.6461800755102
shale2 1 90.0 2.297039827477932 110.57778094151372 58.99498719557706 471.9289108044746
shale2 1 100.0 2.542175053939744 99.55912510385023 60.770281014419325 431.95925607903735
shale2 1 110.0 2.507462779891971 92.82169593837789 66.48411768162471 523.7394421740419
shale2 1 120.0 2.31706562267261 123.12667734554402 64.78206113305782 519.5179769773051
shale2 1 130.0 2.206217818186774 102.10735009889675 59.31750250085779 504.1222298927542
shale2 1 140.0 2.521679180758376 107.31232947942569 72.82129795859976 562.9268296885436
shale2 1 150.0 2.325745768955116 103.57091291759886 75.07071644288956 496.361016204368
shale2 1 160.0 2.5865847038725844 115.08959672477427 77.80176031594415 493.79476184584894
shale2 1 170.0 2.4686423857299267 103.59529972972909 71.50960749508037 569.7039151671486
shale2 1 180.0 2.252094000050865 107.47032256424735 73.1672554972881 499.8860694383213
shale2 1 190.0 2.423526991049524 113.17818919277033 71.9331687903109 545.4807012331405
shale2 1 200.0 2.5306501447581966 104.25631044072415 65.26615953967612 517.7922158513749
shale2 1 210.0 2.5145520548984126 101.14052410511209 81.83713470498135 535.9016493528742
shale2 1 220.0 2.4197385057826644 108.10753757088973 57.59997089184037 546.0135466832692
shale2 1 230.0 2.4823864305469097 117.80172854100704 62.383937628413165 527.7429494213841
shale2 1 240.0 2.510778829196093 111.907234846507 49.189198415048494 563.9247006805764
shale2 1 250.0 2.510779807518268 112.13012730590332 75.86909867144456 537.8360935320046
shale2 1 260.0 2.7625656308519955 104.8736482598939 58.92979696728801 537.7334520271233
shale2 1 270.0 2.4519806608216697 113.323304188454 81.34416805982754 551.0383003668186
shale2 1 280.0 2.403501570121735 101.11164706317679 70.76723601371809 571.5646881228856
shale2 1 290.0 2.522727021280894 106.98555493873343 72.61243404781156 541.6424057015671
shale2 1 300.0 2.4825710758882917 116.1132619991406 61.499519615468365 517.7554035513956
shale2 1 310.0 2.4569744739567816 106.81103471600463 72.25082205281673 547.0295456815321
shale2 1 320.0 2.475613915888103 106.74121171068276 66.89624997047297 584.6491844089126
shale2 1 330.0 2.4027081899870026 89.02385658621444 65.65571106714867 594.2901986675226
shale2 1 340.0 2.365668283870524 118.10502412329028 77.10888142129518 504.36033961447436
shale2 1 350.0 2.4189277961667552 105.20162398414767 54.88854065237035 579.672137746774
shale2 1 360.0 2.6485349661634188 123.77076737818219 58.1316969085852 548.2831254993664
shale2 1 370.0 2.5766799529888056 107.91378868620183 56.563887450972025 579.3296801656837
shale2 1 380.0 2.5945570390650112 104.49384928027986 59.27294677534757 581.9626338715159
shale2 1 390.0 2.4376339759522914 110.42857900357585 57.583637801180615 518.7879001240103
shale2 1 400.0 2.2837609371182617 120.32072128657016 58.16519558474059 545.0917001390894
shale2 1 410.0 2.4648424131470414 95.27817557928675 68.85918194585828 556.0676909909611
shale2 1 420.0 2.486297601318778 103.54936379707794 61.87877317533809 484.1325338711605
shale2 1 430.0 2.48248068659706 107.51516380977314 57.29247532706602 561.7319648808904
shale2 1 440.0 2.6242429301216887 99.41373114890756 62.36772405894037 478.79742469455095
shale2 1 450.0 2.4892077365395258 94.36456489363992 63.84340812820333 528.1060995285698
shale2 1 460.0 2.310652967878588 86.56172839685202 43.06232451273428 434.4764421770089
shale2 1 470.0 2.3287413918035593 96.32932693615297 31.938588061748344 467.59568669142607
shale2 1 480.0 2.669435300233335 95.30694777443935 32.7956965408642 343.99722196739805
shale2 1 490.0 2.5394018324263445 81.21526179877574 42.52876711991457 371.8540626536153
shale2 1 500.0 2.4089761170418114 82.73747292486826 9.474272890701087 321.3504017593413
dolomite 2 510.0 2.4322925541645497 73.67109195795099 -13.011414227994337 344.2684513352637
dolomite 2 520.0 2.535958117169271 62.63433816334579 15.164349580009468 318.4443917213305
dolomite 2 530.0 2.6411664516301627 68.46651949590591 3.362800283274325 361.7619687924161
dolomite 2 540.0 2.5645488192662014 53.90859936065849 -13.272723579889375 306.30465424890036
dolomite 2 550.0 2.5338545223428537 66.80479940575883 -26.41116572042024 270.5462637951011
dolomite 2 560.0 2.512041440369155 38.63377881338175 -40.20386956392245 225.87453990933528
dolomite 2 570.0 2.5767025105857866 52.221238466674556 -20.881482922827715 179.10359187345682
dolomite 2 580.0 2.5292841215442423 41.89096810957582 -41.239663714990606 219.89566202542326
dolomite 2 590.0 2.4685109686769535 45.62573812228119 -51.97276568243055 215.02099834402108
dolomite 2 600.0 2.492865210510377 49.544802389127014 -64.56638745371036 189.01464319710524
dolomite 2 610.0 2.498613820314613 34.26492109465013 -52.39956746559511 187.97797773669566
dolomite 2 620.0 2.4716375384870175 42.88308875281789 -55.45315800248862 166.3980337779873
dolomite 2 630.0 2.740177873277901 40.89623776101049 -45.91493351455245 145.70084600825322
dolomite 2 640.0 2.5397798595566146 32.627985971027684 -43.57106800221948 94.37297689915454
dolomite 2 650.0 2.449807562132893 41.372371736773644 -56.07074277912689 154.20087126796722
dolomite 2 660.0 2.323165482334362 35.0264100673631 -62.130376734810696 152.83838038659616
dolomite 2 670.0 2.607302636928507 49.575953203697594 -36.75572917190543 138.28748115885813
dolomite 2 680.0 2.31681829100048 41.969252349834846 -85.04480098741435 109.06318289502724
dolomite 2 690.0 2.483173385119395 50.44914418254735 -64.13596313651453 124.66750842863925
dolomite 2 700.0 2.420629939475858 51.13320468536261 -68.59707267830095 109.60923121534108
dolomite 2 710.0 2.436335563319002 42.558970703825786 -53.595622416027005 142.38636003024982
dolomite 2 720.0 2.410101364750335 41.13061448809435 -60.054511857422696 135.5245857192342
dolomite 2 730.0 2.4622184669313554 47.63563113728763 -61.18113277539133 119.26627695513703
dolomite 2 740.0 2.4525415729388023 37.9782930004273 -54.83209079916954 113.35421006222731
dolomite 2 750.0 2.338975930854202 49.85811207806595 -45.247552537908156 117.33908756633947
dolomite 2 760.0 2.5204561261509615 31.066061485077313 -57.69352035001752 190.98043800527503
dolomite 2 770.0 2.4271106269839073 46.34884610387757 -55.265463049524065 134.06262999357537
dolomite 2 780.0 2.5248252243336293 34.315345499666456 -46.377637565264735 191.5914499304817
dolomite 2 790.0 2.6456434519523504 43.78873274943747 -58.331337300480065 132.78705993754284
dolomite 2 800.0 2.6839562715109415 40.96461460593856 -50.63182036822067 157.36603110105597
dolomite 2 810.0 2.430308339113665 49.45831109051817 -73.6503940005747 145.83331586888903
dolomite 2 820.0 2.5291346962970667 48.746294825806075 -65.13671932489464 155.93186293785885
dolomite 2 830.0 2.5378742049040692 25.872636941139522 -67.8418166274274 109.71017624458935
dolomite 2 840.0 2.4458719834940847 34.02628165905654 -54.060861790391876 115.23310489025451
dolomite 2 850.0 2.56478074932344 46.689486254978625 -43.273937189034754 148.10314962457716
dolomite 2 860.0 2.5385816976745756 47.19695771042158 -65.61915034117555 119.58405981559173
dolomite 2 870.0 2.4112932373277336 55.830405958085876 -63.04116290952596 123.9196123422023
dolomite 2 880.0 2.5233840658105122 45.12932525081516 -43.62317107781597 153.18103944472003
dolomite 2 890.0 2.3930410168671816 43.33028731665484 -66.81888456433293 152.60353934048047
dolomite 2 900.0 2.706540385017361 42.88580631354566 -82.02691605090232 142.95724628191257
dolomite 2 910.0 2.662533479159774 39.10336316843191 -75.50296884168075 131.38573237752908
dolomite 2 920.0 2.369212249829921 40.810854834091586 -55.06737239406477 151.37826011416058
dolomite 2 930.0 2.5858457751679778 25.033517603183967 -64.48077852221888 135.1961760637865
dolomite 2 940.0 2.4881319881780652 47.12903700639942 -48.26306520242952 101.61565235267278
dolomite 2 950.0 2.6929527435576355 35.62311196513974 -69.39538363828373 116.55274624389827
dolomite 2 960.0 2.4789702070374906 42.287117111411916 -57.85962407084277 162.52228601972877
