Lithology       Code      Dept  RHOB         GR        SP         DT
    
shale2          1           1   2.57E+00   9.86E+01   7.90E+01   5.77E+02
shale2          1           2   2.50E+00   1.01E+02   6.38E+01   6.72E+02
shale2          1           3   2.48E+00   1.11E+02   7.25E+01   4.71E+02
shale2          1           4   2.44E+00   9.86E+01   7.67E+01   4.92E+02
shale2          1           5   2.48E+00   9.86E+01   7.09E+01   6.57E+02
shale2          1           6   2.50E+00   1.26E+02   8.23E+01   5.57E+02
shale2          1           7   2.42E+00   1.23E+02   7.32E+01   5.56E+02
shale2          1           8   2.56E+00   9.60E+01   7.18E+01   6.24E+02
shale2          1           9   2.51E+00   8.85E+01   7.71E+01   5.33E+02
shale2          1          10   2.57E+00   1.01E+02   6.81E+01   4.88E+02
shale2          1          11   2.51E+00   1.11E+02   7.16E+01   5.28E+02
shale2          1          12   2.43E+00   8.62E+01   7.76E+01   4.52E+02
shale2          1          13   2.36E+00   1.24E+02   7.20E+01   6.32E+02
shale2          1          14   2.52E+00   1.21E+02   7.87E+01   6.22E+02
shale2          1          15   2.54E+00   1.14E+02   6.60E+01   5.54E+02
shale2          1          16   2.58E+00   1.15E+02   7.26E+01   5.45E+02
shale2          1          17   2.55E+00   1.37E+02   6.53E+01   5.31E+02
shale2          1          18   2.60E+00   1.04E+02   7.95E+01   5.52E+02
shale2          1          19   2.53E+00   1.14E+02   7.26E+01   5.71E+02
shale2          1          20   2.57E+00   1.15E+02   5.73E+01   5.74E+02
shale2          1          21   2.43E+00   9.55E+01   6.80E+01   5.57E+02
shale2          1          22   2.52E+00   1.11E+02   7.57E+01   5.26E+02
shale2          1          23   2.37E+00   1.21E+02   6.66E+01   5.49E+02
shale2          1          24   2.50E+00   1.13E+02   9.08E+01   5.05E+02
shale2          1          25   2.54E+00   1.04E+02   6.80E+01   4.89E+02
shale2          1          26   2.54E+00   1.14E+02   6.44E+01   5.74E+02
shale2          1          27   2.56E+00   1.06E+02   5.61E+01   5.42E+02
shale2          1          28   2.57E+00   9.76E+01   6.03E+01   4.16E+02
shale2          1          29   2.44E+00   9.35E+01   6.74E+01   4.92E+02
shale2          1          30   2.42E+00   1.06E+02   7.08E+01   4.90E+02
shale2          1          31   2.47E+00   1.17E+02   7.94E+01   5.39E+02
shale2          1          32   2.48E+00   1.14E+02   7.58E+01   6.95E+02
shale2          1          33   2.54E+00   1.17E+02   7.33E+01   5.50E+02
shale2          1          34   2.56E+00   1.40E+02   6.19E+01   5.72E+02
shale2          1          35   2.51E+00   1.10E+02   6.70E+01   5.31E+02
shale2          1          36   2.51E+00   1.10E+02   6.16E+01   4.99E+02
shale2          1          37   2.42E+00   9.69E+01   7.05E+01   5.28E+02
shale2          1          38   2.52E+00   1.06E+02   6.11E+01   5.11E+02
shale2          1          39   2.49E+00   8.80E+01   5.76E+01   4.35E+02
shale2          1          40   2.44E+00   1.14E+02   8.41E+01   4.53E+02
shale2          1          41   2.55E+00   1.15E+02   8.27E+01   6.01E+02
shale2          1          42   2.55E+00   1.10E+02   7.39E+01   5.63E+02
shale2          1          43   2.47E+00   9.81E+01   6.21E+01   4.71E+02
shale2          1          44   2.48E+00   1.31E+02   7.58E+01   4.74E+02
shale2          1          45   2.53E+00   1.06E+02   6.67E+01   5.27E+02
shale2          1          46   2.53E+00   1.22E+02   7.09E+01   4.79E+02
shale2          1          47   2.49E+00   1.18E+02   6.78E+01   5.11E+02
shale2          1          48   2.49E+00   1.07E+02   7.05E+01   5.61E+02
shale2          1          49   2.45E+00   8.66E+01   6.37E+01   4.68E+02
shale2          1          50   2.50E+00   1.15E+02   7.68E+01   5.28E+02
shale2          1          51   2.54E+00   1.19E+02   6.73E+01   4.70E+02
shale2          1          52   2.58E+00   1.14E+02   6.81E+01   5.29E+02
shale2          1          53   2.47E+00   9.44E+01   7.06E+01   4.79E+02
shale2          1          54   2.50E+00   9.77E+01   6.86E+01   6.29E+02
shale2          1          55   2.48E+00   1.06E+02   6.77E+01   5.36E+02
shale2          1          56   2.48E+00   1.09E+02   8.88E+01   5.40E+02
shale2          1          57   2.61E+00   1.09E+02   4.82E+01   7.29E+02
shale2          1          58   2.54E+00   1.26E+02   7.19E+01   5.41E+02
shale2          1          59   2.54E+00   1.07E+02   6.10E+01   6.63E+02
shale2          1          60   2.40E+00   1.34E+02   8.55E+01   5.91E+02
dolomite        2          61   2.50E+00   4.48E+01  -6.11E+01   1.20E+02
dolomite        2          62   2.41E+00   3.57E+01  -6.72E+01   1.76E+02
dolomite        2          63   2.47E+00   4.31E+01  -5.36E+01   1.27E+02
